材料,主体零件由指定的材料构成-如"钛合金零件-材料-T-6A1-4V"
粉末冶金,将金属粉末(或与非金属粉末的混合物)压制成形和烧结等形成各种制品的方法
粘接,借助粘结剂形成的连接
钳加工,一般在钳台上以手工工具为主，对工件进行各种加工的方法
电加工,直接利用电能对工件进行加工的方法
电火花加工,在一定的介质中、通过工具电极之间的脉冲放电的电蚀作用、对工件进行加工的方法
电解加工,利用金属工件在电解液中所产生的阳极溶解作用、而进行加工的方法
电子束加工,在真空条件下、利用电子枪中产生的电子经加速、聚焦，形成高能量大密度的细电子束以轰击工件被加工部位，使该部位的材料熔化和蒸发，从而进行加工、或利用电子束照射引起的化学变化而进行加工的方法
离子束加工,利用离子源产生的离子、在真空中经加速聚焦而形成高速高能的束状离子流、从而对工件进行加工的方法
等离子加工,利用高温高速的等离子流使工件的局部金属熔化和蒸发、从而对工件进行加工的方法
电铸,利用金属电解沉积、复制金属制品的加工方法
工艺孔,为满足工艺(加工、测量、装配)的需要而在工件上增设的孔
工艺凸台,为满足工艺的需要而在工件上增设的凸台
工艺尺寸,根据加工的需要、在工艺附图或工艺规程中所给出的尺寸
工序尺寸,某工序加工应达到的尺寸
尺寸链,互相联系且按一定顺序排列的封闭尺寸组合
工艺尺寸链,在加工过程中的各有关工艺尺寸所组成的尺寸链
加工总余量,毛坯尺寸与零件图的设计尺寸之差
工序余量,相邻两工序的工艺尺寸之差
除锈,将工件表面上的锈蚀除去的过程
清洗,用清洗剂清除产品或工件上的油污、灰尘等杂物的过程
滚圆,将工件边缘形成圆弧的加工方法
配备,将待装配产品的所有零、部件配备齐全
装配,把零件装配成部件的过程
卷边,将板件边缘成形(或空心制件)的口部进行卷边或咬边的加工方法
铣边,对板件的边缘进行连续的切削加工
矫正,清除材料或制件的弯曲、翘曲、凸凹不平等缺陷的加工方法
校平,消除板材或平板制件的弯曲、局部凸不平等的加工方法
拉伸,板料或空心料在轴向拉应力作用下、使其产生塑性变形取得所需制件的成形方法
扩口,将管件或空心制件的端部轴向尺寸扩大的加工方法
缩口,将管件或空心制件的端部加压、使其径向尺寸缩小的加工方法
缩径,将管件或空心制件局部加压、使其径向尺寸缩小的加工方法
胀接,利用管子和管板变形来达到紧固和密封的连接方法
弯曲,使工件单边伸长收缩而弯曲成形的方法
折弯,利用放边和收边使板料边缘弯曲的方法
翻边,将板料周围起弯收边、而中间打凸凹、使之成为半球形或其他所需形状的加工方法
错位,将坯料的一部分与另一部分相对旋转一定角度的加工过程
剪切,将板料切断的方法
压边,将工件边缘压扁成叠边或压扁成一定几何形状的加工方法
防锈,在产品装配和清洗后、用防锈剂等将其指定部位(或全部)加以保护的过程
拆卸,将组装的零、部件或产品拆开的过程
热弯,将板料在热状态下弯曲成形的方法
热压,将板料或工件在热状态下成形的方法
过热,金属或合金在热处理加热时，由于温度过高，晶粒长得很大，以致性能显著降低的现象
偏析,合金中合金元素、夹杂物或气孔等分布不均匀的现象
冷脆,在低温(一般指100℃以下)，钢的冲击韧度随温度的降低而急剧下降的现象
蓝脆,钢在200-300℃(表面氧化膜呈蓝色)时抗拉强度及硬度比常温的高，塑性及韧度比常温的低的现象
热脆,有些合金在接近熔点的温度受到应力或形变时沿晶界开裂的现象
氢脆,金属或合金因吸收氢而引起的韧度降低现象
白点,白点是钢中因氢的析出而引起的一种缺陷。在纵向断口上，它呈现接近圆形或椭圆形的银白色斑点;在侵蚀后的宏观磨片上呈现发裂
渗碳,为了增加钢件表层的含碳量和一定的碳浓度梯度，将钢件在渗碳介质中加热并保温使碳原子渗入表层的化学热处理工艺
固体渗碳,将工件放在填充粒状渗碳剂的密封箱中进行渗碳的工艺
青剂渗碳,工件表面以膏状渗碳剂涂覆进行渗碳的工艺
盐浴渗碳(液体渗碳),在熔融盐浴渗碳剂中进行渗碳的工艺
气体渗碳,工件在气体渗碳剂中进行渗碳的工艺
滴注式渗碳(滴液式渗碳),将苯、醇、煤油等液体渗碳剂直接滴入炉内裂解进行气体渗碳的工艺
离子渗碳(辉光放电渗碳),在低于一个大气压的渗碳气氛中，利用工件(阴极)和阳极之间产生的辉光放电进行渗碳的工艺
流态床渗碳,在悬浮于气流中形成流态化的固体颗粒渗碳介质中进行渗碳的工艺
电解渗碳,在作为阴极的被处理件和在熔盐浴中的石墨阳极之间通以电流进行渗碳的工艺
真空渗碳,在低于一个大气压的条件下进行气体渗碳的工艺
高温渗碳,在950℃以上进行渗碳的工艺
局部渗碳,仅对工件表面某一部分或某些区域进行的渗碳
复碳,由于热处理或其他工序引起钢件表面脱碳后，为恢复初始碳含量而进行的渗碳处理
碳势(碳位),碳势是指表征含碳气氛在一定温度下改变钢件表面含碳量能力的参数。通常可用低碳钢管在含碳气氛中的平衡含碳量来表示
渗碳层,渗碳件中含碳量高于原材料的表层
渗碳层深度,由渗碳工件表面向内至规定碳浓度处的垂直距离
有效渗碳硬化层深度,渗碳淬火后的工件由其表面测定到规定硬度(通常为550HV1)处的垂直距离
渗氮(氮化),在一定温度下(一般在Ac1温度下)，使活性氮原子渗入工件表面的化学热处理工艺
液体渗氮,在熔盐渗氮剂中进行渗氮的工艺
气体渗氮,在气体介质中进行渗氮的工艺
离子渗氮(离子氮化),在低于一个大气压的渗氮气氛中，利用工件(阴极)和阳极之间产生的辉光放电进行渗氮的工艺
一段渗氮,在一个温度下进行渗氮的工艺
多段渗氮(多段氮化),将渗氮过程分在两个或三个温度阶段保温渗氮的工艺
退氮(脱氮),从渗氮件表层去除过剩的氮进行的化学热处理工艺
氮化物,氮与金属元素形成的化合物。渗氮时常见的氮化物有γ-Fe4N，ε-Fe2-3N，ζ-Fe2N等
氮势,表征含氮介质在给定温度对工件渗氮或退氮到某一给定表面氮含量的能力的参数
渗氮层深度,从渗氮件表面沿垂直方向测至与基体组织有明显的分界处为止的距离
车槽,用车削方法加工工件的槽
铣槽,用铣削方法加工工件的槽或键槽
刨槽,用刨削方法加工工件的槽
插槽,用插削方法加工工件的槽或键槽
套螺纹,用板牙或螺纹切头加工工件的螺纹
磨螺纹,用单线或多线砂轮磨削工件的螺纹
珩螺纹,用珩磨工具珩磨工件的螺纹
研螺纹,用螺纹研磨工具研磨工件的螺纹
铣齿,用铣刀或铣刀盘按成形法或展成法加工齿轮或齿条等的齿面
刨齿,用刨齿刀加工直齿圆柱齿轮、锥齿轮或齿条等的齿面
插齿,用插齿刀按展成法或成形法加工内、外齿轮或齿条等的齿面
滚齿,用齿轮滚刀按展成法加工齿轮、蜗轮等的齿面
剃齿,用剃齿刀对齿轮或蜗轮等的齿面进行精加工
珩齿,用珩磨轮对齿轮或蜗轮等的齿面进行精加工
磨齿,用砂轮按展成法或成形法磨削齿轮或齿条等的齿面
拉齿,用拉刀或拉刀盘加工内、外齿轮等的齿面
研齿,用具有齿形的研轮与被研齿轮或一对被研齿轮对滚研磨，以进行齿面的加工
轧齿,用具有齿形的轧轮或齿条作为工具，轧制出齿轮的齿形
挤齿,用挤轮与齿轮按无侧隙啮合的方式对滚，以精加工齿轮的齿面
冲齿轮,用冲模冲制齿轮
激光打孔,用激光加工原理加工工件的孔
电火花打孔,用电火花加工原理加工工件的孔
超声波打孔,用超声波加工原理加工工件的孔
电子束打孔,用电子束加工原理加工工件的孔
车外圆,用车削方法加工工件的外圆表面
磨外圆,用磨削方法加工工件的外圆表面
珩磨外圆,用珩磨方法加工工件的外圆表面
研磨外圆,用研磨方法加工工件的外圆表面
抛光外圆,用抛光方法加工工件的外圆表面
滚压外圆,用滚压方法加工工件的外圆表面
车平面,用车削方法加工工件的平面
铣平面,用铣削方法加工工件的平面
刨平面,用刨削方法加工工件的平面
磨平面,用磨削方法加工工件的平面
珩平面,用珩磨方法加工工件的平面
刮平面,用刮削方法加工工件的平面
拉平面,用拉削方法加工工件的平面
端平面,用德削方法将工件的孔口周围切削成垂直于孔的平面
研平面,用研磨的方法加工工件的平面
